formulaId,formula,medId
1,CH2O,1.0
2,C7H17Cl2N2O3P,2.0
3,C20H12,3.0
4,C6H12N3PS,4.0
5,C6H14O6S2,5.0
6,C18H20O2,6.0
7,C6H6Cl6,7.0
8,C10H13NO2,8.0
9,C2H6O,9.0
10,C6H6,10.0
11,C2H3Cl,11.0
12,CH3CHO,12.0
13,C2H4O,13.0
14,C6H4Cl2,14.0
15,C2HCl3,15.0
16,C6HCl5O,16.0
17,C10H9N,17.0
18,C12H11N,18.0
19,C12H12N2,19.0
20,H2NC6H4C6H4NH2,19.0
21, C7H9N,20.0
22,C6H6ClN,21.0
23,C4H6,22.0
24,C12H8O4,24.0
25,C6H14O6S2,25.0
26,C14H19C12NO2,26.0
27,C17H11NO7,27.0
28,C9H7N7O2S,29.0
29,C14H15NCl2,30.0
30,C4H8Cl2S,31.0
31,（ClCH2）2O,32.0
32,3MgO·2SiO2·2H2O,33.0
33,C12H10-xClx,34.0
34,C17H12O6,35.0
35,Ra,45.0
36,SiO2,49.0
37,C9H11N3O,51.0
38,C29H32O13,53.0
39,C55H84N17O21S3,54.0
40,Al,64.0
